text,aspect,predicted_sentiment
"Their Billy-Cheese steak sandwich is very good, too, but last I was there it wasn't on the menu, at least not for dinner anyway.",menu,neutral
"Their Billy-Cheese steak sandwich is very good, too, but last I was there it wasn't on the menu, at least not for dinner anyway.",dinner,neutral
"Another hour waiting for our food, we spoke to the manager, he told us he would give us a discount off our bill.",waiting,neutral
"Another hour waiting for our food, we spoke to the manager, he told us he would give us a discount off our bill.",food,neutral
"Another hour waiting for our food, we spoke to the manager, he told us he would give us a discount off our bill.",manager,positive
New firmware update allows for automatic wireless network configuration.,update,positive
"There are some highs to the 2004 edition, but mostly lows.",edition,negative
our family never expected such incredible entertainment in a restaurant .,entertainment,positive
i went on a thursday evening and the restaurant was pretty empty the server got our drinks wrong 3 times!,server,negative
i went on a thursday evening and the restaurant was pretty empty the server got our drinks wrong 3 times!,drinks,neutral
We were however seated right away and was immediately told by our waiter that they were out of sparking mineral water.,waiter,negative
We were however seated right away and was immediately told by our waiter that they were out of sparking mineral water.,water,neutral
We both opted for a pasta dish and they were served timely and fresh .,pasta dish,positive
We both opted for a pasta dish and they were served timely and fresh .,pasta dish,positive
"The sound is pretty good also -LRB- although not anything like a 5.1 surround system -RRB- There is reflection , but I only really notice it when the display is off , in which case you see you own reflection on the screen .",sound,positive
There is nothing to complain about the system.,system,positive
tons of bloatware and junk programs.,programs,negative
In summer-eat outside on a terrace ( another great feature of Suan ) ! ! !,terrace,positive
"It also has a 10 year warranty , which is just icing on the cake .",warranty,positive
"The food was OK, but trying to get anything, like a drink refill or the check, was an ordeal, and this was when the place was nearly empty!",drink,neutral
"The food was OK, but trying to get anything, like a drink refill or the check, was an ordeal, and this was when the place was nearly empty!",place,negative
They had scrapped the bottom of the vessel in which they make the rice -RESULT - WE HAD LARGE CHUNKS OF BURNT RICE IN OUR SERVING BOWL .,RICE,negative
I would strongly recommend this product !,product,positive
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",quality,negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",performance,negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",battery life,positive
"The service was horrendous, not only did the waiter take an hour to remember we ordered drinks, we were rushed to eat and get out so they could seat the next party.",service,negative
"The service was horrendous, not only did the waiter take an hour to remember we ordered drinks, we were rushed to eat and get out so they could seat the next party.",waiter,negative
"The service was horrendous, not only did the waiter take an hour to remember we ordered drinks, we were rushed to eat and get out so they could seat the next party.",drinks,neutral
"we hardly ever have to charge them , get great reception ( live in chicago ) , and the customization and applications are awesome .",life,positive
"we hardly ever have to charge them , get great reception ( live in chicago ) , and the customization and applications are awesome .",reception,positive
"we hardly ever have to charge them , get great reception ( live in chicago ) , and the customization and applications are awesome .",application,positive
The waitresses and the diners have to scream at one another to give an order.,waitresses,negative
The waitresses and the diners have to scream at one another to give an order.,diners,neutral
"This router acts as a wireless access point, 100 MB switch and a router making it a nice multipurpose device.",multipurpose,positive
Suprising was the cheese selections that were sort of dessert as well.,cheese selections,positive
Suprising was the cheese selections that were sort of dessert as well.,dessert,neutral
I felt that the meat had little flavor(ribs and chicken) and as result I had to use A ALOT of their bbq sauce (which is good) and the ribs were not falling of the bone.,meat,neutral
I felt that the meat had little flavor(ribs and chicken) and as result I had to use A ALOT of their bbq sauce (which is good) and the ribs were not falling of the bone.,flavor,negative
I felt that the meat had little flavor(ribs and chicken) and as result I had to use A ALOT of their bbq sauce (which is good) and the ribs were not falling of the bone.,bbq sauce,positive
I walk in ask to take a look a the menu and was greeted by the a nasty not so passive aggressive hostess.,menu,neutral
I walk in ask to take a look a the menu and was greeted by the a nasty not so passive aggressive hostess.,hostess,negative
"As one other reviewer pointed out, it does occasionally take a little effort to push down the ""plunger"" to get the diapers in the pail, even though upon inspection the bag doesn't really look full.",plunger,negative
"Tip: go for lunch early, 12:00 say, when the place and street is quiet and enjoy the romantic and charming setting and delicious food.",lunch,neutral
"Tip: go for lunch early, 12:00 say, when the place and street is quiet and enjoy the romantic and charming setting and delicious food.",setting,positive
"Tip: go for lunch early, 12:00 say, when the place and street is quiet and enjoy the romantic and charming setting and delicious food.",food,positive
"The food is pretty good, but the staff would rather be anywhere than waiting tables at Maison.",food,positive
"The food is pretty good, but the staff would rather be anywhere than waiting tables at Maison.",staff,negative
"The food is pretty good, but the staff would rather be anywhere than waiting tables at Maison.",waiting tables,neutral
"For those of you looking for excellent sound reproduction , expecially during a raging Decepticon battle , look no further .",sound reproduction,positive
"If you call apple and tell them your ipod has been damaged, they charge you roughly $105.50 per minute and blame you for ""abusing"" your ipod.",apple,negative
3. The Nokia 6600 has a brilliant Java interface.,interface,positive
"But we had paid for bluetooth, and there was none.",bluetooth,negative
I had been a regular due to the consistently good food and ease of getting a table .,food,positive
I had been a regular due to the consistently good food and ease of getting a table .,getting a table,positive
"The sauce is filled with spices, including fresh garlic and basil.",sauce,neutral
"The sauce is filled with spices, including fresh garlic and basil.",spices,positive
"The sauce is filled with spices, including fresh garlic and basil.",garlic and basil,positive
"The food is just ok, not really memorable and not what you expect for the price but I guess the atmosphere is what you pay for.",food,positive
"The food is just ok, not really memorable and not what you expect for the price but I guess the atmosphere is what you pay for.",price,negative
"The food is just ok, not really memorable and not what you expect for the price but I guess the atmosphere is what you pay for.",atmosphere,positive
This 4 X 3 monitor fits my space very well .,fits,positive
It discharges too quickly.,discharges,negative
The waiters seemed annoyed we all ordered the restaurant week menu and were going to cut into their tips.,waiters,negative
The waiters seemed annoyed we all ordered the restaurant week menu and were going to cut into their tips.,menu,neutral
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,positive
They are often crowded on the weekends but they are efficient and accurate with their service .,service,positive
They are often crowded on the weekends but they are efficient and accurate with their service .,service,positive
They are often crowded on the weekends but they are efficient and accurate with their service .,crowded,negative
"The only not-so-positive comment I have is about the depth adjustment, it is not easy to micro-adjust accurately.",adjustment,negative
"The concept of the "" self "" in philosophy is something that has always intrigued me , and I believe that it is a topic that deserves more attention .","concept of the "" self """,positive
"The concept of the "" self "" in philosophy is something that has always intrigued me , and I believe that it is a topic that deserves more attention .",topic,positive
seems everyone ordered sushi there were tons of delivery orders (we can tell as we sat near the back).,sushi,neutral
seems everyone ordered sushi there were tons of delivery orders (we can tell as we sat near the back).,delivery,positive
"The wait time at the psychologist's office was excruciatingly long , which made me feel more anxious .",psychologist's office,negative
"The wait time at the psychologist's office was excruciatingly long , which made me feel more anxious .",anxious,negative
The setting is casual and romantic .,setting,positive
The setting is casual and romantic .,setting,positive
My DWL-2100AP does not work as a repeater for DI-624S and there is no firmware update to support this product .,firmware update,neutral
"The Food This Cajun-Italian menu is lengthier than its Manhattan counterparts--here, adventuresome diners can still design their own pies, but they can also feast on oversized plates of peel-and-eat old bay shrimp and cajun spaghetti with meatballs enlivened with andouille sausage.",Cajun-Italian menu,positive
"The Food This Cajun-Italian menu is lengthier than its Manhattan counterparts--here, adventuresome diners can still design their own pies, but they can also feast on oversized plates of peel-and-eat old bay shrimp and cajun spaghetti with meatballs enlivened with andouille sausage.",diners,positive
"The Food This Cajun-Italian menu is lengthier than its Manhattan counterparts--here, adventuresome diners can still design their own pies, but they can also feast on oversized plates of peel-and-eat old bay shrimp and cajun spaghetti with meatballs enlivened with andouille sausage.",plates,positive
"The Food This Cajun-Italian menu is lengthier than its Manhattan counterparts--here, adventuresome diners can still design their own pies, but they can also feast on oversized plates of peel-and-eat old bay shrimp and cajun spaghetti with meatballs enlivened with andouille sausage.",cajun spaghetti with meatballs enlivened,neutral
"You may as well just extend the bar into the restaurant since it has already penetrated it with loud music, loud voices, and a remarkable amount of cigarette smoke.",bar,neutral
"You may as well just extend the bar into the restaurant since it has already penetrated it with loud music, loud voices, and a remarkable amount of cigarette smoke.",music,negative
"You may as well just extend the bar into the restaurant since it has already penetrated it with loud music, loud voices, and a remarkable amount of cigarette smoke.",smoke,negative
Then the menu is all in Italian well I don't speak Italian so it took forever for the waitress to translate.,menu,neutral
Then the menu is all in Italian well I don't speak Italian so it took forever for the waitress to translate.,waitress,negative
"i think the $5 dollar breakfast is great hangover food, but then again, it's hard to mess up eggs, right?",breakfast,positive
"i think the $5 dollar breakfast is great hangover food, but then again, it's hard to mess up eggs, right?",eggs,neutral
"Made call which was immediately answered by very helpful , competent tech .",tech,positive
The sensational headlines used by some news outlets are misleading and can cause unnecessary panic .,news outlets,negative
The sensational headlines used by some news outlets are misleading and can cause unnecessary panic .,sensational headlines,negative
The sensational headlines used by some news outlets are misleading and can cause unnecessary panic .,sensational headlines,negative
"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.",programs,negative
"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.",drivers,negative
have had problems since the first day,player,negative
The place was nice and calm .,place,positive
The place was nice and calm .,place,positive
"I love the variety of genres available on this music streaming service , but the ads are too frequent and interrupt the listening experience .",variety of genres,positive
"I love the variety of genres available on this music streaming service , but the ads are too frequent and interrupt the listening experience .",ads,negative
"However , if speed , reliability , and power to transmit a signal across the house are your requirements , then this router will do the job .",speed,positive
"However , if speed , reliability , and power to transmit a signal across the house are your requirements , then this router will do the job .",reliability,positive
"However , if speed , reliability , and power to transmit a signal across the house are your requirements , then this router will do the job .",transmit a signal,positive
"i've been there for lunch - when the place is empty- and the waiter spent more time outside, soaking up the sun for himself, like he was a patron.",lunch,neutral
"i've been there for lunch - when the place is empty- and the waiter spent more time outside, soaking up the sun for himself, like he was a patron.",waiter,negative
"Of course, I inspected the other netbooks and clearly their hinges are tighter and I even demonstrate the difference between my netbook and others.",hinges,negative
And the screen on this thing is absolutely amazing for high quality videos and movies and gaming.,screen,positive
And the screen on this thing is absolutely amazing for high quality videos and movies and gaming.,gaming,positive
"The battery life of my new smartphone is terrible , it barely lasts a few hours on a full charge .",battery life,negative
"Suddenly the manager, came to our table yelling absolutely no way we can have a drink after dinner becuase he has tables waiting Just to be clear we spent over $70 and had 1 drink each, we used the table for about 1hour and 15 minutes.",manager,negative
"Suddenly the manager, came to our table yelling absolutely no way we can have a drink after dinner becuase he has tables waiting Just to be clear we spent over $70 and had 1 drink each, we used the table for about 1hour and 15 minutes.",drink after dinner,neutral
"I was hesitant to read the classic novel that everyone raves about , but I was pleasantly surprised to find that it lived up to the hype . The writing was beautiful and the story was captivating .",classic novel,positive
"I was hesitant to read the classic novel that everyone raves about , but I was pleasantly surprised to find that it lived up to the hype . The writing was beautiful and the story was captivating .",writing,positive
"I was hesitant to read the classic novel that everyone raves about , but I was pleasantly surprised to find that it lived up to the hype . The writing was beautiful and the story was captivating .",story,positive
This concert was a complete disappointment the singer was off-key and the sound system was terrible .,concert,negative
This concert was a complete disappointment the singer was off-key and the sound system was terrible .,singer,negative
This concert was a complete disappointment the singer was off-key and the sound system was terrible .,sound system,negative
"Students, artists, and young parents with their tots in tow linger all day on the mismatched couches and chairs--the place closes way too early to lure a late-night crowd.",couches,positive
"Students, artists, and young parents with their tots in tow linger all day on the mismatched couches and chairs--the place closes way too early to lure a late-night crowd.",chairs,positive
the takeout is great too since they give high quality tupperware as well .,takeout,positive
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,restaurant,positive
"i 've only had it a week , but so far , everything about this camera is making me happy .",camera,positive
The interior is understated making it special enough to take a date but easy enough to stop in anytime for dinner or snack.,interior,positive
The interior is understated making it special enough to take a date but easy enough to stop in anytime for dinner or snack.,dinner,neutral
The interior is understated making it special enough to take a date but easy enough to stop in anytime for dinner or snack.,snack,neutral
The controls are hard to see and not intuitive .,controls,negative
The manager sent us a complimentary glass of wine for the steak not being cooked like he wanted.,manager,negative
The manager sent us a complimentary glass of wine for the steak not being cooked like he wanted.,glass of wine,neutral
The manager sent us a complimentary glass of wine for the steak not being cooked like he wanted.,steak,neutral
Its also FUN to use!,use,positive
"The whole time we were waiting the hostess kept talking to us, telling us we wouldn't lose our reservation, and even gave us free blue margarita shots!",hostess,positive
"The whole time we were waiting the hostess kept talking to us, telling us we wouldn't lose our reservation, and even gave us free blue margarita shots!",reservation,neutral
"The whole time we were waiting the hostess kept talking to us, telling us we wouldn't lose our reservation, and even gave us free blue margarita shots!",blue margarita,positive
At the end you 're left with a mild broth with noodles that you can slurp out of a cup .,broth with noodles,positive
"While there are now a few appetizers, the traditional thali (sampling platter) is often your best bet; fixed nightly menu changes daily.",appetizers,neutral
"While there are now a few appetizers, the traditional thali (sampling platter) is often your best bet; fixed nightly menu changes daily.",traditional thali (sampling platter),positive
"Even on the LOW sensitivy level, a slight touch can skip or pause the track.",sensitivy,positive
"I absolutely love the sunny weather in California , it's perfect for outdoor activities like hiking and going to the beach .",sunny weather in California,positive
"I absolutely love the sunny weather in California , it's perfect for outdoor activities like hiking and going to the beach .",outdoor activities,positive
"I absolutely love the sunny weather in California , it's perfect for outdoor activities like hiking and going to the beach .",hiking,positive
"I absolutely love the sunny weather in California , it's perfect for outdoor activities like hiking and going to the beach .",going to the beach,positive
It 's a really nice looking device and can be positioned horizontally or vertically .,device,positive
It 's a really nice looking device and can be positioned horizontally or vertically .,looking,positive
service was also very good .,service,positive
big chunk of meat(beef short rib).,chunk,positive
big chunk of meat(beef short rib).,beef short rib,neutral
"Saturday , Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us .",staff,positive
"The medicine prescribed by my doctor has been effective in treating my symptoms , but the side effects are unbearable .",medicine,positive
"The medicine prescribed by my doctor has been effective in treating my symptoms , but the side effects are unbearable .",side effects,negative
"I love how fast this new laptop is , it can handle multiple programs and tasks without any lag .",new laptop,positive
"Then the staff behind the buffett just haven't gotten their groove yet, so you order your food and wait five minutes while it sits behind the glass on a plate, getting cold.",staff,negative
"Then the staff behind the buffett just haven't gotten their groove yet, so you order your food and wait five minutes while it sits behind the glass on a plate, getting cold.",food,neutral
"Then the staff behind the buffett just haven't gotten their groove yet, so you order your food and wait five minutes while it sits behind the glass on a plate, getting cold.",glass,neutral
"The mosquitoes were out in full force during our camping trip , which made it hard to enjoy the beautiful scenery .",mosquitoes,negative
"I used to eat there two meals a day until my company moved to stupid Madison avenue (UGH, nasty food for rip off tourist price!)",meals,neutral
"I used to eat there two meals a day until my company moved to stupid Madison avenue (UGH, nasty food for rip off tourist price!)",food,negative
"I used to eat there two meals a day until my company moved to stupid Madison avenue (UGH, nasty food for rip off tourist price!)",price,negative
mazing interior .,interior,negative
"Affordable starters comprise most of the menu: Cheese plates with sweet-sour chutneys, spicy lamb-stuffed fried olives and plump mussels baked under saffron-herb breadcrumbs are addictive, but signature tigelle panini fixings shouldn't be missed.",menu,neutral
"Affordable starters comprise most of the menu: Cheese plates with sweet-sour chutneys, spicy lamb-stuffed fried olives and plump mussels baked under saffron-herb breadcrumbs are addictive, but signature tigelle panini fixings shouldn't be missed.",Cheese plates with sweet-sour chutneys,neutral
"Affordable starters comprise most of the menu: Cheese plates with sweet-sour chutneys, spicy lamb-stuffed fried olives and plump mussels baked under saffron-herb breadcrumbs are addictive, but signature tigelle panini fixings shouldn't be missed.",lamb-stuffed fried olives,positive
"Affordable starters comprise most of the menu: Cheese plates with sweet-sour chutneys, spicy lamb-stuffed fried olives and plump mussels baked under saffron-herb breadcrumbs are addictive, but signature tigelle panini fixings shouldn't be missed.",tigelle panini,positive
"The hotel room was spacious and clean , but the staff was rude and unhelpful .",hotel room,positive
"The hotel room was spacious and clean , but the staff was rude and unhelpful .",staff,negative
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,waitress,negative
"the eax features are pretty cool , as well , as creative has included a number of eq adjustments that , for example , compensate for the extraneous noise encountered in a car or on a train .",eax,positive
i have had no problems with the phone .,phone,positive
It 's a rather cramped and busy restaurant and it closes early .,restaurant,negative
It 's a rather cramped and busy restaurant and it closes early .,restaurant,negative
"The characters in this book were well-developed and relatable , but the pacing was too slow .",characters,positive
"The characters in this book were well-developed and relatable , but the pacing was too slow .",pacing,negative
"head and shoulders above its neighboors on east 6 st , taj mahal is also very comparable , in food quality , to the much overpraised ( and underdeserving ) baluchi 's .",food quality,positive
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive
"but , it seems to work so well now , that i do n't anticipate any problems with it .",player,positive
"Seated in the upstairs part of the restaurant my party and I were subjected to rude, abrupt service and unmercifully long waits for our food.",service,negative
"Seated in the upstairs part of the restaurant my party and I were subjected to rude, abrupt service and unmercifully long waits for our food.",food,neutral
"The flight was delayed for several hours , which was frustrating because I had a connecting flight to catch .",flight,negative
this thing plays everything i feed it .,play,positive
Have the kitchen split as an appetizer its signature cheese and linguini pasta that is curled in a large round cheese bowl that look like a giant candle right at your table.,appetizer,neutral
Have the kitchen split as an appetizer its signature cheese and linguini pasta that is curled in a large round cheese bowl that look like a giant candle right at your table.,signature cheese,neutral
Have the kitchen split as an appetizer its signature cheese and linguini pasta that is curled in a large round cheese bowl that look like a giant candle right at your table.,pasta,positive
Have the kitchen split as an appetizer its signature cheese and linguini pasta that is curled in a large round cheese bowl that look like a giant candle right at your table.,round cheese bowl,positive
My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!,battery,negative
Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,hard drive,negative
I was really disappointed with the celebrity meet and greet event .,celebrity meet and greet event,negative
"The food was awful and took forever to arrive - which considering the limited menu, few diners and the fact that we ordered chili, mac cheese and a grill cheese was annoying.",menu,neutral
"The food was awful and took forever to arrive - which considering the limited menu, few diners and the fact that we ordered chili, mac cheese and a grill cheese was annoying.",diners,neutral
"The food was awful and took forever to arrive - which considering the limited menu, few diners and the fact that we ordered chili, mac cheese and a grill cheese was annoying.",chili,neutral
"The food was awful and took forever to arrive - which considering the limited menu, few diners and the fact that we ordered chili, mac cheese and a grill cheese was annoying.",mac cheese,neutral
I would not return for a $30 entree of inadequate portions.,entree,negative
I would not return for a $30 entree of inadequate portions.,portions,negative
The extra Gb is just a bonus.,storage,positive
"The flight was delayed for several hours , causing inconvenience to the passengers .",flight,negative
"The flight was delayed for several hours , causing inconvenience to the passengers .",passengers,negative
"and I love extremely low , loud bass , and as such , I suplemented the system with a sweet JBL sub .",bass,positive
"and I love extremely low , loud bass , and as such , I suplemented the system with a sweet JBL sub .",JBL sub,positive
"I will also say that setting up the e-mail account was very simple and straight-forward, although you do need an external SMTP server to use.",mail,positive
"However for one appetizer, three entree's, one shared dessert, and two bottles of white, the bill was a cool $100!",appetizer,neutral
"However for one appetizer, three entree's, one shared dessert, and two bottles of white, the bill was a cool $100!",entree,neutral
"However for one appetizer, three entree's, one shared dessert, and two bottles of white, the bill was a cool $100!",dessert,neutral
"However for one appetizer, three entree's, one shared dessert, and two bottles of white, the bill was a cool $100!",white,neutral
"However for one appetizer, three entree's, one shared dessert, and two bottles of white, the bill was a cool $100!",bill,positive
"The waitstaff are surprisingly uninformed and unintelligent, and I say this even though I liked my waiter.",waitstaff,negative
"The waitstaff are surprisingly uninformed and unintelligent, and I say this even though I liked my waiter.",waiter,positive
I was really disappointed with the quality of the product I received from this business .,quality of the product,negative
My fish was delicious in an incredible curry sauce .,fish,positive
My fish was delicious in an incredible curry sauce .,curry sauce,positive
"I was disappointed with the sound quality of the headphones I bought , they sounded muffled and lacked clarity .",sound quality,negative
"I was disappointed with the sound quality of the headphones I bought , they sounded muffled and lacked clarity .",headphones,negative
"I was disappointed with the sound quality of the headphones I bought , they sounded muffled and lacked clarity .",headphones,negative
"It's disappointing that some people dismiss the importance of studying history , as it provides valuable insights into the past and helps us make informed decisions in the present .",studying history,positive
"It's disappointing that some people dismiss the importance of studying history , as it provides valuable insights into the past and helps us make informed decisions in the present .",valuable insights,positive
"It's disappointing that some people dismiss the importance of studying history , as it provides valuable insights into the past and helps us make informed decisions in the present .",informed decisions,positive
"It's disappointing that some people dismiss the importance of studying history , as it provides valuable insights into the past and helps us make informed decisions in the present .",some people,negative
"the picture is clear , bright and sharp and the sound is good .",picture,positive
"the picture is clear , bright and sharp and the sound is good .",sound,positive
I went on a hike in the mountains and the scenery was breathtaking .,scenery,positive
I was extremely disappointed with the quality of the product I received from this business .,quality of the product,negative
"we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the food .",food,positive
I really liked the price...,price,positive
The host actually came over to my table and told me and my date we had to leave because we already paid our bill.,host,negative
The host actually came over to my table and told me and my date we had to leave because we already paid our bill.,table,neutral
The host actually came over to my table and told me and my date we had to leave because we already paid our bill.,bill,neutral
"I had high hopes for this high-ranked wonder, only to be let down by inattentive service doubled by LONG food and drink wait times.",food,neutral
"I had high hopes for this high-ranked wonder, only to be let down by inattentive service doubled by LONG food and drink wait times.",wait times,negative
this makes no sense and sort of defeats the purpose of audio bookmarks .. .,bookmark,negative
"I was excited to visit a new country and experience a different culture , but I was disappointed to find that the locals were unwelcoming and uninterested in interacting with tourists .",locals,negative
"I was excited to visit a new country and experience a different culture , but I was disappointed to find that the locals were unwelcoming and uninterested in interacting with tourists .",locals,negative
Only thing we didn't like was the steamed chocolate cake with mint ice creama group of the 4 of us did not want to finish this dessert!,steamed chocolate cake with mint ice,negative
Only thing we didn't like was the steamed chocolate cake with mint ice creama group of the 4 of us did not want to finish this dessert!,dessert,negative
"A few tips : skip the turnip cake , roast pork buns and egg custards .",turnip cake,negative
"A few tips : skip the turnip cake , roast pork buns and egg custards .",roast pork buns,negative
"A few tips : skip the turnip cake , roast pork buns and egg custards .",egg custards,negative
the staff is very good .,staff,positive
"I liked the place and the people, but we really went to have dinner no appetizers as the whole dinner.",place,positive
"I liked the place and the people, but we really went to have dinner no appetizers as the whole dinner.",people,positive
"I liked the place and the people, but we really went to have dinner no appetizers as the whole dinner.",appetizers,negative
"Coffee, treats, and the best of eerything.",Coffee,neutral
"Coffee, treats, and the best of eerything.",treats,neutral
"Coffee, treats, and the best of eerything.",eerything,positive
"es, the interface took a little getting used to, but once I did, it's almost second nature now.",interface,negative
Was searching online for a power supply when I found this site.,power supply,neutral
i am annoyed that the player 's not automatically recognized as a hard drive .,player,negative
All this Asian fusion craze leaves one feeling like they should've went to an authentic Thai or Indian restaurant for probably 1/3 of the price of Spice Market.,Thai,positive
All this Asian fusion craze leaves one feeling like they should've went to an authentic Thai or Indian restaurant for probably 1/3 of the price of Spice Market.,price,neutral
All this Asian fusion craze leaves one feeling like they should've went to an authentic Thai or Indian restaurant for probably 1/3 of the price of Spice Market.,Spice,neutral
service was prompt and courteous .,service,positive
service was prompt and courteous .,service,positive
"Our server was just fantastic, she recommended that we order a lot of different dishes, so we did, we tried almost everything on the menu, we were a party of six and the whole group enjoyed everything.",dishes,positive
"Our server was just fantastic, she recommended that we order a lot of different dishes, so we did, we tried almost everything on the menu, we were a party of six and the whole group enjoyed everything.",menu,neutral
"Our server was just fantastic, she recommended that we order a lot of different dishes, so we did, we tried almost everything on the menu, we were a party of six and the whole group enjoyed everything.",server,positive
"After waiting more than 15 minutes for our order to be taken and then having the waitress not know how to make certain drinks, our party of 7 was obviously dissatisified.",waitress,negative
"After waiting more than 15 minutes for our order to be taken and then having the waitress not know how to make certain drinks, our party of 7 was obviously dissatisified.",drinks,neutral
"The problem is that if you want anything to continue the meal, if you need an extra minute to go over the menu, or if, horrors, you want the check, you might be in for a lengthy wait.",menu,neutral
"The problem is that if you want anything to continue the meal, if you need an extra minute to go over the menu, or if, horrors, you want the check, you might be in for a lengthy wait.",wait,negative
Our bill total was only $30 and our waiter threw in a side of linguini (no charge) since the entrees don't come with pasta sides.,bill,neutral
Our bill total was only $30 and our waiter threw in a side of linguini (no charge) since the entrees don't come with pasta sides.,waiter,negative
Our bill total was only $30 and our waiter threw in a side of linguini (no charge) since the entrees don't come with pasta sides.,entrees,negative
Our bill total was only $30 and our waiter threw in a side of linguini (no charge) since the entrees don't come with pasta sides.,pasta sides,neutral
"Half an hour after our appetizer was cleared, the waiter told us it would take more time to get our main courses.",appetizer,neutral
"Half an hour after our appetizer was cleared, the waiter told us it would take more time to get our main courses.",waiter,negative
"Half an hour after our appetizer was cleared, the waiter told us it would take more time to get our main courses.",courses,neutral
"The food was good but for the prices, it was definitely not worth it.",food,positive
"The food was good but for the prices, it was definitely not worth it.",prices,negative
"this phone is very user-friendly , easy to manipulate &#38; very convenient to scroll in menu etc .",phone,positive
"this phone is very user-friendly , easy to manipulate &#38; very convenient to scroll in menu etc .",menu,positive
night mode is clear as day .,mode,positive
"i go out to eat and like my courses , servers are patient and never rush courses or force another drink .",servers,positive
"No bread basket for the table, the server came around with a basket and we each got 1 piece of bread.",table,neutral
"No bread basket for the table, the server came around with a basket and we each got 1 piece of bread.",server,positive
"Drinks got screwed up , she acted put upon .",Drinks,negative
"It was easy to install all of the components and directions were easy to understand , even for an old guy like me .",install,positive
"It was easy to install all of the components and directions were easy to understand , even for an old guy like me .",components and directions,positive
The pizza was pretty good and huge .,pizza,positive
The pizza was pretty good and huge .,pizza,positive
"I ordered the empanadas sampler, crab croqueta, and something else I don't remember but I remember (all appetizers) thinking this was the best Cuban meal I had ever eaten.",crab croqueta,neutral
"I ordered the empanadas sampler, crab croqueta, and something else I don't remember but I remember (all appetizers) thinking this was the best Cuban meal I had ever eaten.",appetizers,neutral
"I ordered the empanadas sampler, crab croqueta, and something else I don't remember but I remember (all appetizers) thinking this was the best Cuban meal I had ever eaten.",Cuban meal,positive
"The Scene Neither trendy and slick nor haute and haughty, it this cozy wine bar adds a bit of Mediterranean sun to the chilly east 70s.",wine bar,positive
"The Scene Neither trendy and slick nor haute and haughty, it this cozy wine bar adds a bit of Mediterranean sun to the chilly east 70s.",Mediterranean,neutral
"I have worked in the restaurant industry for 5 years, and so am understanding of things out of my server's control, and I have never experienced such poor service!",server,neutral
"I have worked in the restaurant industry for 5 years, and so am understanding of things out of my server's control, and I have never experienced such poor service!",service,negative
I would not suggest dining here unless you get a different server.,dining,neutral
I would not suggest dining here unless you get a different server.,server,neutral
"The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person).",price,neutral
"The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person).",drinks,neutral
"While it has a rather effective firewall, and comes with Norton Antivirus (which I'm actually rather fond of), the Security Suite has significantly slowed down my system.",firewall,positive
"While it has a rather effective firewall, and comes with Norton Antivirus (which I'm actually rather fond of), the Security Suite has significantly slowed down my system.",suite,negative
"While the $ 20 entree range is not overly expensive , in New York City , there is definitely better food in that range , and so Sapphire , despite it 's lovely atmosphere , will most likely not be a restaurant to which I will return .",food,negative
"While the $ 20 entree range is not overly expensive , in New York City , there is definitely better food in that range , and so Sapphire , despite it 's lovely atmosphere , will most likely not be a restaurant to which I will return .",atmosphere,positive
"While the $ 20 entree range is not overly expensive , in New York City , there is definitely better food in that range , and so Sapphire , despite it 's lovely atmosphere , will most likely not be a restaurant to which I will return .",entree range,positive
"WAY OVER PRICED , HAD MUCH BETTER MEALS FOR JUST OVER HALF THE PRICE IN PLACES JUST AS NICE.",PRICED,negative
"WAY OVER PRICED , HAD MUCH BETTER MEALS FOR JUST OVER HALF THE PRICE IN PLACES JUST AS NICE.",MEALS,positive
The recent spate of burglaries in our neighborhood has left us all feeling vulnerable .,burglaries,negative
Very compact and portable just as described with great sound quality .,sound quality,positive
the nomad zen could use a little sturdier construction like the archos jukeboxes or some kind of shock resistant case .,construction,negative
I was said it's videocard.,videocard,negative
I am very happy with this monitor .,monitor,positive
"Upon calling to reserve a table outside for Brunch, the manager requested a cc nbr to secure the table for 6 (I was 8 months pregnant and there was a little baby).",Brunch,neutral
